model,trajectory,checkpoint,round,checkpoint_path,REEF_L9,BPB,BPB_ratio,KL,reef_protocol_id,output_protocol_id,status
GPT-2,PURE,Source,0,models/victim/base/gpt2,1.000000,5.635329,1.000000,0.000000,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r01,1,runs/twostage_raw/r01,0.945624,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r02,2,runs/twostage_raw/r02,0.853096,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r03,3,runs/twostage_raw/r03,0.792500,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r04,4,runs/twostage_raw/r04,0.727416,5.998516,1.064448,0.179061,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r06,6,runs/twostage_raw/r06,0.643729,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r08,8,runs/twostage_raw/r08,0.591849,6.524908,1.157857,0.504101,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r10,10,runs/twostage_raw/r10,0.555246,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r12,12,runs/twostage_raw/r12,0.535830,6.843828,1.214450,0.710970,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r14,14,runs/twostage_raw/r14,0.520245,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r16,16,runs/twostage_raw/r16,0.507983,7.069666,1.254526,0.860743,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r18,18,runs/twostage_raw/r18,0.498838,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r20,20,runs/twostage_raw/r20,0.492083,7.313032,1.297711,1.025081,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r22,22,runs/twostage_raw/r22,0.486919,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r24,24,runs/twostage_raw/r24,0.483097,7.571507,1.343578,1.204205,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r26,26,runs/twostage_raw/r26,0.480761,,,,reef_fixed_L9_max512_HSIC_v2,,verified
GPT-2,PURE,RPDA-C-r28,28,runs/twostage_raw/r28,0.479853,7.825838,1.388710,1.383633,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r30,30,runs/twostage_raw/r30,0.480042,7.949166,1.410595,1.471210,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r32,32,runs/twostage_raw_extended/r32,0.480883,8.070199,1.432072,1.556818,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r36,36,runs/twostage_raw_extended/r36,0.481639,8.570491,1.520850,1.911487,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r40,40,runs/twostage_raw_extended/r40,0.480460,8.765463,1.555448,2.050121,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r44,44,runs/twostage_raw_extended/r44,0.477473,8.942259,1.586821,2.174692,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r48,48,runs/twostage_raw_extended/r48,0.474945,9.100152,1.614839,2.284384,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r52,52,runs/twostage_raw_extended/r52,0.473314,9.238935,1.639467,2.379520,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r56,56,runs/twostage_raw_extended/r56,0.472758,9.362472,1.661389,2.462876,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
GPT-2,PURE,RPDA-C-r60,60,runs/twostage_raw_extended/r60,0.473026,9.472048,1.680833,2.535898,reef_fixed_L9_max512_HSIC_v2,bpb_wikitext_25600_v2,verified
