layer,REEF_Neo,REEF_OPT,spread,rank
0,0.9204748889159546,0.8020476505979881,0.11842723831796653,9.0
1,0.8827130120380589,0.7245194302808611,0.15819358175719778,7.0
2,0.7777128934635109,0.6176770628733129,0.160035830590198,6.0
3,0.7755607240541486,0.608963472987732,0.16659725106641654,5.0
4,0.7255437217048347,0.5746770403387895,0.1508666813660452,8.0
5,0.5678547373666623,0.46767850668355765,0.1001762306831046,11.0
6,0.6084772639788804,0.38509920639115275,0.2233780575877276,3.0
7,0.6051264093902143,0.32333291627899763,0.2817934931112167,1.0
8,0.5735584678130462,0.2976050543658632,0.275953413447183,2.0
9,0.4650777339510821,0.2573924541218763,0.20768527982920582,4.0
10,0.3544850566315708,0.2534007789774554,0.10108427765411543,10.0
11,0.322293213281186,0.2599537550296889,0.06233945825149706,12.0
