layer,REEF_GPTNeo,REEF_OPT,source_separation,sep_rank
0,0.9204748889159546,0.8020476505979881,0.07952511108404536,12.0
1,0.8827130120380589,0.7245194302808611,0.11728698796194115,11.0
2,0.7777128934635109,0.6176770628733129,0.2222871065364891,10.0
3,0.7755607240541486,0.608963472987732,0.22443927594585145,9.0
4,0.7255437217048347,0.5746770403387895,0.2744562782951653,8.0
5,0.5678547373666623,0.4676785066835576,0.43214526263333775,4.0
6,0.6084772639788804,0.3850992063911527,0.39152273602111964,7.0
7,0.6051264093902143,0.3233329162789976,0.39487359060978566,6.0
8,0.5735584678130462,0.2976050543658632,0.4264415321869538,5.0
9,0.4650777339510821,0.2573924541218763,0.5349222660489179,3.0
10,0.3544850566315708,0.2534007789774554,0.6455149433684292,2.0
11,0.322293213281186,0.2599537550296889,0.677706786718814,1.0
