layer,reef_c_r16,reef_s_r16_rec,div_c_r16,div_s_r16_rec
0,0.9824286225131033,0.9824286225131033,0.017571377486896744,0.017571377486896744
1,0.8671328323968953,0.8671328323968953,0.13286716760310469,0.13286716760310469
2,0.8171673177176249,0.8171673177176249,0.18283268228237515,0.18283268228237515
3,0.7555158158643277,0.7555158158643277,0.2444841841356723,0.2444841841356723
4,0.7316310454231273,0.7078365433882879,0.2683689545768727,0.29216345661171206
5,0.6253928144187006,0.5965032078525617,0.37460718558129935,0.4034967921474383
6,0.5973190791126693,0.5340928283261385,0.40268092088733065,0.46590717167386153
7,0.5162892656286899,0.4585795827190524,0.48371073437131007,0.5414204172809476
8,0.5585652934728111,0.4853058751844656,0.44143470652718886,0.5146941248155343
9,0.5079831460058023,0.43940280057285286,0.4920168539941977,0.5605971994271471
10,0.4732191055593774,0.4108078378197266,0.5267808944406226,0.5891921621802734
11,0.46129560309428663,0.3943048097995574,0.5387043969057134,0.6056951902004426
